volcano_number,volcano_name,eruption_number,vei,start_year,end_year,latitude,longitude,decade,country,region,subregion,elevation,tectonic_settings,volcano_type
252010,Langila,14999,2.0,2004-01-01,2004.0,-5.525,148.42,2000.0,Papua New Guinea,Melanesia and Australia,New Britain,1330.0,Subduction zone / Continental crust (>25 km),Complex Volcano
300250,Bezymianny,19382,3.0,2004-01-01,2005.0,55.972,160.595,2000.0,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,2882.0,Subduction zone / Continental crust (>25 km),Stratovolcano
282110,Asosan,17349,1.0,2004-01-01,2004.0,32.884,131.104,2000.0,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,1592.0,Subduction zone / Continental crust (>25 km),Caldera
355100,Lascar,11876,1.0,2003-01-01,2003.0,-23.37,-67.73,2000.0,Chile,South America,"Northern Chile, Bolivia and Argentina",5592.0,Subduction zone / Continental crust (>25 km),Stratovolcano
284080,Sumisujima,18355,0.0,2003-01-01,2003.0,31.44,140.051,2000.0,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",136.0,Subduction zone / Oceanic crust (< 15 km),Submarine Volcano
284110,Kita-Ioto,18395,0.0,2003-01-01,2003.0,25.424,141.284,2000.0,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",792.0,Subduction zone / Crustal thickness unknown,Stratovolcano
251020,Manam,14933,1.0,2003-01-01,2004.0,-4.08,145.037,2000.0,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,1807.0,Subduction zone / Continental crust (>25 km),Stratovolcano
344100,Masaya,11038,1.0,2003-01-01,2003.0,11.985,-86.165,2000.0,Nicaragua,México and Central America,Nicaragua,594.0,Subduction zone / Continental crust (>25 km),Caldera
266100,Lokon-Empung,16463,3.0,2003-01-01,2003.0,1.358,124.792,2000.0,Indonesia,Indonesia,Sulawesi,1580.0,Subduction zone / Continental crust (>25 km),Stratovolcano
357070,"Chillan, Nevados de",11992,1.0,2003-01-01,2003.0,-36.868,-71.378,2000.0,Chile,South America,Central Chile and Argentina,3180.0,Subduction zone / Continental crust (>25 km),Stratovolcano
268060,Gamalama,16675,2.0,2003-01-01,2003.0,0.8,127.33,2000.0,Indonesia,Indonesia,Halmahera,1715.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
354006,Sabancaya,11752,2.0,2003-01-01,2003.0,-15.787,-71.857,2000.0,Peru,South America,Peru,5960.0,Subduction zone / Continental crust (>25 km),Stratovolcano
300250,Bezymianny,19381,3.0,2003-01-01,2003.0,55.972,160.595,2000.0,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,2882.0,Subduction zone / Continental crust (>25 km),Stratovolcano
263200,Dieng Volcanic Complex,15791,1.0,2003-01-01,2003.0,-7.2,109.879,2000.0,Indonesia,Indonesia,Java,2565.0,Subduction zone / Continental crust (>25 km),Complex Volcano
282110,Asosan,17348,1.0,2003-01-01,2003.0,32.884,131.104,2000.0,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,1592.0,Subduction zone / Continental crust (>25 km),Caldera
284211,NW Rota-1,18539,0.0,2003-01-01,2010.0,14.601,144.775,2000.0,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",-517.0,Subduction zone / Crustal thickness unknown,Submarine Volcano
264200,Leroboleng,16308,3.0,2003-01-01,2003.0,-8.365,122.833,2000.0,Indonesia,Indonesia,Lesser Sunda Islands,1095.0,Subduction zone / Crustal thickness unknown,Complex Volcano
344020,San Cristobal,10890,1.0,2003-01-01,2004.0,12.702,-87.004,2000.0,Nicaragua,México and Central America,Nicaragua,1745.0,Subduction zone / Continental crust (>25 km),Stratovolcano
234010,Heard,14410,0.0,2003-01-01,2004.0,-53.106,73.513,2000.0,Australia,Middle East and Indian Ocean,Indian Ocean (southern),2745.0,Intraplate / Oceanic crust (< 15 km),Stratovolcano
233020,"Fournaise, Piton de la",14384,1.0,2003-01-01,2004.0,-21.244,55.708,2000.0,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
264180,Lewotobi,16304,2.0,2003-01-01,2003.0,-8.542,122.775,2000.0,Indonesia,Indonesia,Lesser Sunda Islands,1703.0,Subduction zone / Crustal thickness unknown,Stratovolcano
